1st Choice Logistics LLC	FCOS
White Arrow LLC	WARW
YRC Worldwide Inc.: YRC Freight	RDWY
101 Transport, Inc.	OZOT
1262380 Ontario Limited/dba FF Express	FFXR
1527530 Ontario Inc./M&M Carriers	MNMR
1541335 Ontario Inc./Road Link Xpress	ROAD
1579901 Ontario Inc./ASL Global Logistics	AGBM
1628939 Ontario LTD o/a P&D Freightlines	PDGH
1st Express Inc.	FSEP
2210310 Ontario Inc./Dynamic Freight Haulers	DFHR
2322819 Ontario Inc./Right Service Right Choice	TTWT
24/7 Express Logistics, Inc.: Truckload Denver	TFCD
24/7 Express Logistics, Inc.: Truckload KC	TFCY
24/7 Express Logistics, Inc: Truckload	TFCY
24:7 Expedite, Inc.: Freight	TWFJ
3398722 Canada Inc: JB Transport	74Y6
3NT, LLC.	THLL
5/D Express, Inc.: 5/D Express,Inc	FDRP
6233317 Canada Inc. DBA Rockwell Truck Line	RKWT
8198004 Canada Inc.: A AND R Transport & Logistics	ARTQ
A & A Express, LLC	AAXB
A & C Transport LLC	ACBB
A & H Cartage, Inc.	AHCG
A & T Trucking Company	ATNG
A Plus Expediting & Logistics Inc	APEP
A&I Express Inc.	AIEP
A&I Transport Inc	AITG
A&L Intermodal	AALM
A&M Transport, Inc.: Dry Van Fleet	ALKM
A&M Transport, Inc.: Flatbed Fleet	ALKM,AFLJ
A&M Transport, Inc.: Tautliner Fleet	ALKM
A&R Logistics, Inc.	ANRI
A&S Services Group, LLC	ANSW
A. Blair Enterprises Inc	BAEN
A. Duie Pyle Inc.	PYLE
A. L. Smith Trucking, Inc.	SALJ
A. Smith Trucking Co. Inc.	SMGD
A.C. Trucking, Inc.: 12073707	AKGM
A.D. Transport Express, Inc.	ADXR
A.N. Webber, Inc.	WANQ
A.O. Knabb Inc. - Northern Berks Transport Brokera	NBTN
A/T Transportation, LLC.	AUCR
AAA Cooper Transportation	AACT
Abbyland Trucking, Inc.	ABYL
Abco Transportation: ABTS	ABTS
ABEX Transportation, LLC	ABED
ABF Freight System, Inc.	ABFS
Abilene Motor Express	AEQC
Above All Transport LLC	ABVC
Absolute Intermodal LLC	ASUL
ABT Freight Lines Inc	ABTL
AC Leasing Company Inc.	ACWH
AC Transport	OFTO
Accelerated Courier, Inc.	ACUI
Accelerated Services LLC	ACVY
Accord Transportation Ltd.: Highway	ACTL
Ace Doran Hauling & Rigging Co	ACEH
Ace Forwarding, Inc	AFWO,AFWP
Ace Hardware Corporation: ACHW	ACHW
Ace Heavy Haul, LLC	AHYL
ACI Motor Freight, Inc.	AGCE
Acme Truck Line, Inc.	ATEQ
ACS Logistics Transportation Inc.	OFNS
Action Expediting, Inc.	AEPD
Action Resources, Inc.	AQRR
Adams Motor Express, Inc.	ADXI
Adco Logistics	AORL
ADM Trucking, Inc.	ADMH
Advanced Cargo Transportation Inc.	ADVP
ADZ TRUCKING	ADZL
Aerodyne Transportation, LLC	LDWY
Aeropres Corporation	ACOH
Aetna Freight Lines, Inc.	AGFC
Afton Trucking: AFTT	AFTT
Ag Trucking, Inc.	AGTG
Agri-Tel Transportation Inc.	AGTJ
Agricultural Express Inc	AGIE
Agricultural Transport	AGUN
Aim Integrated Logistics	AIDD
Aim Transport, Inc.	AIMP
Air Capitol Delivery & Warehouse LLC	AQIR
Air Ground Xpress, Inc.	AGXP
Air Ocean Transport, Inc.	AIRT
Air Traffic Services DBA FASTMILE	AVFE
Air-Land Transport Services, Inc.	APVC
Airtime Express Inc.	ATOT
AIS	AISB
AJ & J Deliveries LLC	N/A
Alabama Motor Express, Inc.	ABXN
Alan Ritchey Inc.: ARMCO	RIAL
Alan Ritchey Inc.: Frac Tank	RIAL
Alan Ritchey Inc.: Martindale Feed Mill	RIAL
Alan Ritchey Inc.: US Mail	RIAL
Alaska West Express Inc	ALWE
ALB Express	ALBK
Albatross Express Inc. DBA Albatross	AEIC
